"scid","sname","scity","sdist"
"1281","הוברמן","פתח תקווה","תל אביב"
"1282","אהוד מנור","פתח תקווה","תל אביב"
"1591","יד לבנים","פתח תקווה","תל אביב"
"1628","אחד העם - שש שנתי","פתח תקווה","תל אביב"
"1646","חב""ד כפר גנים","פתח תקווה","תל אביב"
"1659","בבלי ירושלמי","פתח תקווה","תל אביב"
"1660","קרול","פתח תקווה","תל אביב"
"1661","שיפר","פתח תקווה","תל אביב"
"1676","גנים","פתח תקווה","תל אביב"
"1700","כפר גנים חמד","פתח תקווה","תל אביב"
"1013","בית חינוך צופית","צופית","מרכז"
"1563","לביא","צור הדסה ","ירושלים"
"1014","בכר רוסו","צור משה","מרכז"
"1179","נעמי שמר","קבוצת כנרת","צפון"
"1015","יובלים","קדימה-צורן","מרכז"
"1016","ניצני השרון","קדימה-צורן","מרכז"
"1017","יגאל אלון","קדימה-צורן","מרכז"
"1111","אור תורה","קדימה-צורן","מרכז"
"1113","לב רן","קדימה-צורן","מרכז"
"1018","בית אור","קדרון","מרכז"
"1019","בית אור","קדרון","מרכז"
"1020","מנור כברי","קיבוץ איילון","צפון"
"1021","סולם צור","קיבוץ גשר הזיו","צפון"
"1638","ישיבה תיכונית קריית ארבע","קריית ארבע","ירושלים"
"1323","תיכון רוגוזין","קרית אתא ","חיפה"
"1324","רוגוזין ב' חט""ב","קרית אתא ","חיפה"
"1325","אורט אפק","קריית ביאליק","חיפה"
"1326","הבונים","קריית ביאליק","חיפה"
"1327","פסגות ","קריית ביאליק","חיפה"
